pid,condition,ctrl,profile,profile_label,human,seg_order,segment,pos,first_seg,at1_pass,av1_pass,attention_pass,BEL1,NARS,GAAIS_pos,GAAIS_neg,GAAIS,SCM_comp,SCM_warm,PE,HM,BG_age,BG_gender,BG_freq_ai,BG_freq_robot,BG_freq_disability,mobile,dur_min,gate_open,watch_s,dwell_s,OH1,OH2,OH3,AU1,CR1,CR2,CR3,R1_CTRL,R1_AI,R1_ORG,R1_USER,R2_CTRL,R2_AI,R2_ORG,R2_USER,OH
5d2f55e7-7ce5-4788-a995-5505d9781e55,A,A,,AI (no operator),0,O1,REL,1,REL,1,1,True,2.0,3.7,2.4,3.75,3.0,5.2,6.0,3.25,3.3333333333333335,42.0,1.0,3.0,0.0,0.0,0,10.216666666666667,1,69.343,163.25,4.0,5.0,4.0,3.0,5.0,4.0,,,1.0,2.0,3.0,,1.0,2.0,3.0,4.333333333333333
5d2f55e7-7ce5-4788-a995-5505d9781e55,A,A,,AI (no operator),0,O1,ADV,2,REL,1,1,True,2.0,3.7,2.4,3.75,3.0,5.2,6.0,3.25,3.3333333333333335,42.0,1.0,3.0,0.0,0.0,0,10.216666666666667,1,103.805,148.214,5.0,6.0,4.0,4.0,5.0,6.0,,,1.0,2.0,3.0,,1.0,3.0,2.0,5.0
5d2f55e7-7ce5-4788-a995-5505d9781e55,A,A,,AI (no operator),0,O1,COL,3,REL,1,1,True,2.0,3.7,2.4,3.75,3.0,5.2,6.0,3.25,3.3333333333333335,42.0,1.0,3.0,0.0,0.0,0,10.216666666666667,1,115.323,153.137,5.0,6.0,4.0,3.0,5.0,6.0,,,1.0,2.0,3.0,,1.0,3.0,2.0,5.0
92593480-e39a-40a9-ad45-966ade7e4bd2,H1,H,1.0,no mention,1,O5,ADV,1,ADV,1,1,True,1.0,1.9,7.0,6.5,6.777777777777778,5.0,4.25,7.0,7.0,22.0,0.0,5.0,1.0,1.0,0,13.35,1,142.852,219.505,1.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,,3.0,1.0,1.0,,2.0,3.0,2.3333333333333335
92593480-e39a-40a9-ad45-966ade7e4bd2,H1,H,1.0,no mention,1,O5,REL,2,ADV,1,1,True,1.0,1.9,7.0,6.5,6.777777777777778,5.0,4.25,7.0,7.0,22.0,0.0,5.0,1.0,1.0,0,13.35,1,69.386,133.065,2.0,1.0,6.0,1.0,2.0,2.0,4.0,2.0,,3.0,1.0,1.0,,3.0,2.0,3.0
92593480-e39a-40a9-ad45-966ade7e4bd2,H1,H,1.0,no mention,1,O5,COL,3,ADV,1,1,True,1.0,1.9,7.0,6.5,6.777777777777778,5.0,4.25,7.0,7.0,22.0,0.0,5.0,1.0,1.0,0,13.35,1,115.313,157.874,5.0,6.0,7.0,3.0,4.0,5.0,4.0,1.0,,3.0,2.0,2.0,,3.0,1.0,6.0
e1ad1608-f56d-456a-ab00-2ab257ea89fc,H3,H,3.0,mobility,1,O4,REL,1,REL,0,1,False,6.0,5.0,4.6,4.75,4.666666666666667,6.4,4.5,5.5,6.0,35.0,1.0,4.0,0.0,3.0,1,13.533333333333333,1,76.389,172.785,7.0,7.0,7.0,7.0,7.0,7.0,7.0,2.0,,1.0,3.0,1.0,,2.0,3.0,7.0
e1ad1608-f56d-456a-ab00-2ab257ea89fc,H3,H,3.0,mobility,1,O4,COL,2,REL,0,1,False,6.0,5.0,4.6,4.75,4.666666666666667,6.4,4.5,5.5,6.0,35.0,1.0,4.0,0.0,3.0,1,13.533333333333333,1,162.215,242.948,7.0,7.0,7.0,5.0,6.0,7.0,7.0,1.0,,2.0,3.0,1.0,,2.0,3.0,7.0
e1ad1608-f56d-456a-ab00-2ab257ea89fc,H3,H,3.0,mobility,1,O4,ADV,3,REL,0,1,False,6.0,5.0,4.6,4.75,4.666666666666667,6.4,4.5,5.5,6.0,35.0,1.0,4.0,0.0,3.0,1,13.533333333333333,1,104.009,145.872,7.0,7.0,7.0,6.0,6.0,7.0,7.0,1.0,,2.0,3.0,1.0,,2.0,3.0,7.0
7c7876c1-31ee-41c3-99b5-b696b4ce7c91,HA1,HA,1.0,no mention,1,O2,ADV,1,ADV,1,1,True,6.0,2.6,5.8,6.0,5.888888888888889,5.4,5.5,5.75,5.0,48.0,0.0,4.0,2.0,4.0,0,15.633333333333333,1,103.855,239.09,6.0,6.0,7.0,5.0,5.0,6.0,3.0,2.0,1.0,4.0,3.0,3.0,1.0,4.0,2.0,6.333333333333333
7c7876c1-31ee-41c3-99b5-b696b4ce7c91,HA1,HA,1.0,no mention,1,O2,COL,2,ADV,1,1,True,6.0,2.6,5.8,6.0,5.888888888888889,5.4,5.5,5.75,5.0,48.0,0.0,4.0,2.0,4.0,0,15.633333333333333,1,115.28,212.601,5.0,6.0,7.0,5.0,6.0,6.0,6.0,1.0,3.0,4.0,2.0,1.0,3.0,4.0,2.0,6.0
7c7876c1-31ee-41c3-99b5-b696b4ce7c91,HA1,HA,1.0,no mention,1,O2,REL,3,ADV,1,1,True,6.0,2.6,5.8,6.0,5.888888888888889,5.4,5.5,5.75,5.0,48.0,0.0,4.0,2.0,4.0,0,15.633333333333333,1,69.36,139.719,6.0,5.0,7.0,6.0,5.0,5.0,6.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,6.0
54536746-5731-43eb-9410-1b8f7395c126,HA1,HA,1.0,no mention,1,O1,REL,1,REL,1,1,True,6.0,4.0,5.4,4.75,5.111111111111111,4.8,5.5,6.0,6.0,52.0,1.0,4.0,0.0,5.0,0,16.933333333333334,1,69.408,257.488,7.0,7.0,6.0,6.0,6.0,6.0,5.0,3.0,2.0,1.0,4.0,3.0,2.0,1.0,4.0,6.666666666666667
54536746-5731-43eb-9410-1b8f7395c126,HA1,HA,1.0,no mention,1,O1,ADV,2,REL,1,1,True,6.0,4.0,5.4,4.75,5.111111111111111,4.8,5.5,6.0,6.0,52.0,1.0,4.0,0.0,5.0,0,16.933333333333334,1,103.837,203.984,6.0,6.0,5.0,5.0,6.0,6.0,5.0,3.0,2.0,1.0,4.0,3.0,2.0,1.0,4.0,5.666666666666667
54536746-5731-43eb-9410-1b8f7395c126,HA1,HA,1.0,no mention,1,O1,COL,3,REL,1,1,True,6.0,4.0,5.4,4.75,5.111111111111111,4.8,5.5,6.0,6.0,52.0,1.0,4.0,0.0,5.0,0,16.933333333333334,1,115.365,215.776,3.0,5.0,5.0,5.0,6.0,6.0,5.0,3.0,2.0,1.0,4.0,4.0,3.0,2.0,1.0,4.333333333333333
2246a466-6266-4a12-b215-dd1ef271bf91,H2,H,2.0,intellectual,1,O2,ADV,1,ADV,1,1,True,6.0,3.6,6.6,5.25,6.0,4.2,6.0,6.0,6.0,20.0,0.0,4.0,0.0,3.0,0,10.233333333333333,1,103.637,150.321,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2.0,,1.0,3.0,1.0,,2.0,3.0,6.0
2246a466-6266-4a12-b215-dd1ef271bf91,H2,H,2.0,intellectual,1,O2,COL,2,ADV,1,1,True,6.0,3.6,6.6,5.25,6.0,4.2,6.0,6.0,6.0,20.0,0.0,4.0,0.0,3.0,0,10.233333333333333,1,115.477,142.558,6.0,7.0,7.0,7.0,6.0,6.0,6.0,1.0,,2.0,3.0,2.0,,1.0,3.0,6.666666666666667
2246a466-6266-4a12-b215-dd1ef271bf91,H2,H,2.0,intellectual,1,O2,REL,3,ADV,1,1,True,6.0,3.6,6.6,5.25,6.0,4.2,6.0,6.0,6.0,20.0,0.0,4.0,0.0,3.0,0,10.233333333333333,1,69.497,99.417,6.0,7.0,7.0,7.0,6.0,6.0,6.0,3.0,,2.0,1.0,1.0,,3.0,2.0,6.666666666666667
4e9a0626-7d9e-4e0d-bb1e-d9171395596f,A,A,,AI (no operator),0,O2,ADV,1,ADV,0,1,False,4.0,5.5,4.6,5.5,5.0,6.8,6.75,6.0,5.666666666666667,23.0,0.0,4.0,0.0,3.0,0,15.166666666666666,1,103.95,339.691,6.0,6.0,6.0,6.0,5.0,7.0,,,1.0,2.0,3.0,,1.0,3.0,2.0,6.0
4e9a0626-7d9e-4e0d-bb1e-d9171395596f,A,A,,AI (no operator),0,O2,COL,2,ADV,0,1,False,4.0,5.5,4.6,5.5,5.0,6.8,6.75,6.0,5.666666666666667,23.0,0.0,4.0,0.0,3.0,0,15.166666666666666,1,115.294,311.491,6.0,7.0,6.0,6.0,5.0,5.0,,,1.0,2.0,3.0,,1.0,3.0,2.0,6.333333333333333
4e9a0626-7d9e-4e0d-bb1e-d9171395596f,A,A,,AI (no operator),0,O2,REL,3,ADV,0,1,False,4.0,5.5,4.6,5.5,5.0,6.8,6.75,6.0,5.666666666666667,23.0,0.0,4.0,0.0,3.0,0,15.166666666666666,1,69.531,93.722,6.0,7.0,6.0,6.0,6.0,7.0,,,2.0,1.0,3.0,,1.0,3.0,2.0,6.333333333333333
e4a29cd7-1903-4a05-85ff-302ceba9adc1,HA1,HA,1.0,no mention,1,O6,COL,1,COL,1,1,True,2.0,5.1,1.8,3.25,2.4444444444444446,6.2,6.0,2.0,1.0,49.0,0.0,1.0,0.0,3.0,0,13.583333333333334,1,115.344,223.866,3.0,3.0,2.0,3.0,4.0,4.0,7.0,3.0,1.0,2.0,4.0,3.0,1.0,2.0,4.0,2.6666666666666665
e4a29cd7-1903-4a05-85ff-302ceba9adc1,HA1,HA,1.0,no mention,1,O6,ADV,2,COL,1,1,True,2.0,5.1,1.8,3.25,2.4444444444444446,6.2,6.0,2.0,1.0,49.0,0.0,1.0,0.0,3.0,0,13.583333333333334,1,103.854,164.836,3.0,3.0,2.0,4.0,4.0,5.0,6.0,3.0,1.0,2.0,4.0,3.0,1.0,2.0,4.0,2.6666666666666665
e4a29cd7-1903-4a05-85ff-302ceba9adc1,HA1,HA,1.0,no mention,1,O6,REL,3,COL,1,1,True,2.0,5.1,1.8,3.25,2.4444444444444446,6.2,6.0,2.0,1.0,49.0,0.0,1.0,0.0,3.0,0,13.583333333333334,1,69.381,114.626,3.0,3.0,2.0,5.0,5.0,5.0,6.0,3.0,1.0,2.0,4.0,3.0,1.0,2.0,4.0,2.6666666666666665
476e8213-8ad6-4430-9d28-987b97834de7,HA2,HA,2.0,intellectual,1,O2,ADV,1,ADV,1,1,True,7.0,3.6,7.0,6.25,6.666666666666667,5.2,4.0,6.25,4.666666666666667,27.0,0.0,4.0,0.0,0.0,0,11.4,1,103.784,180.493,4.0,6.0,5.0,4.0,6.0,6.0,7.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,5.0
476e8213-8ad6-4430-9d28-987b97834de7,HA2,HA,2.0,intellectual,1,O2,COL,2,ADV,1,1,True,7.0,3.6,7.0,6.25,6.666666666666667,5.2,4.0,6.25,4.666666666666667,27.0,0.0,4.0,0.0,0.0,0,11.4,1,115.288,142.613,6.0,7.0,5.0,6.0,6.0,6.0,7.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,6.0
476e8213-8ad6-4430-9d28-987b97834de7,HA2,HA,2.0,intellectual,1,O2,REL,3,ADV,1,1,True,7.0,3.6,7.0,6.25,6.666666666666667,5.2,4.0,6.25,4.666666666666667,27.0,0.0,4.0,0.0,0.0,0,11.4,1,69.327,98.149,6.0,6.0,5.0,6.0,7.0,6.0,7.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,5.666666666666667
80927043-f1f3-4ea0-9671-113e7d92a505,H3,H,3.0,mobility,1,O3,COL,1,COL,1,1,True,7.0,3.7,5.6,6.25,5.888888888888889,6.0,5.75,5.0,7.0,45.0,0.0,5.0,1.0,2.0,0,13.05,1,115.274,227.711,6.0,6.0,7.0,5.0,6.0,7.0,7.0,1.0,,3.0,2.0,1.0,,3.0,2.0,6.333333333333333
