pid,ctrl,condition,segment,pos,question,actor,rank
5d2f55e7-7ce5-4788-a995-5505d9781e55,A,A,REL,1,R1,AI,1
5d2f55e7-7ce5-4788-a995-5505d9781e55,A,A,REL,1,R1,ORG,2
5d2f55e7-7ce5-4788-a995-5505d9781e55,A,A,REL,1,R1,USER,3
5d2f55e7-7ce5-4788-a995-5505d9781e55,A,A,REL,1,R2,AI,1
5d2f55e7-7ce5-4788-a995-5505d9781e55,A,A,REL,1,R2,ORG,2
5d2f55e7-7ce5-4788-a995-5505d9781e55,A,A,REL,1,R2,USER,3
5d2f55e7-7ce5-4788-a995-5505d9781e55,A,A,ADV,2,R1,AI,1
5d2f55e7-7ce5-4788-a995-5505d9781e55,A,A,ADV,2,R1,ORG,2
5d2f55e7-7ce5-4788-a995-5505d9781e55,A,A,ADV,2,R1,USER,3
5d2f55e7-7ce5-4788-a995-5505d9781e55,A,A,ADV,2,R2,AI,1
5d2f55e7-7ce5-4788-a995-5505d9781e55,A,A,ADV,2,R2,ORG,3
5d2f55e7-7ce5-4788-a995-5505d9781e55,A,A,ADV,2,R2,USER,2
5d2f55e7-7ce5-4788-a995-5505d9781e55,A,A,COL,3,R1,AI,1
5d2f55e7-7ce5-4788-a995-5505d9781e55,A,A,COL,3,R1,ORG,2
5d2f55e7-7ce5-4788-a995-5505d9781e55,A,A,COL,3,R1,USER,3
5d2f55e7-7ce5-4788-a995-5505d9781e55,A,A,COL,3,R2,AI,1
5d2f55e7-7ce5-4788-a995-5505d9781e55,A,A,COL,3,R2,ORG,3
5d2f55e7-7ce5-4788-a995-5505d9781e55,A,A,COL,3,R2,USER,2
92593480-e39a-40a9-ad45-966ade7e4bd2,H,H1,ADV,1,R1,CTRL,2
92593480-e39a-40a9-ad45-966ade7e4bd2,H,H1,ADV,1,R1,ORG,3
92593480-e39a-40a9-ad45-966ade7e4bd2,H,H1,ADV,1,R1,USER,1
92593480-e39a-40a9-ad45-966ade7e4bd2,H,H1,ADV,1,R2,CTRL,1
92593480-e39a-40a9-ad45-966ade7e4bd2,H,H1,ADV,1,R2,ORG,2
92593480-e39a-40a9-ad45-966ade7e4bd2,H,H1,ADV,1,R2,USER,3
92593480-e39a-40a9-ad45-966ade7e4bd2,H,H1,REL,2,R1,CTRL,2
92593480-e39a-40a9-ad45-966ade7e4bd2,H,H1,REL,2,R1,ORG,3
92593480-e39a-40a9-ad45-966ade7e4bd2,H,H1,REL,2,R1,USER,1
92593480-e39a-40a9-ad45-966ade7e4bd2,H,H1,REL,2,R2,CTRL,1
92593480-e39a-40a9-ad45-966ade7e4bd2,H,H1,REL,2,R2,ORG,3
92593480-e39a-40a9-ad45-966ade7e4bd2,H,H1,REL,2,R2,USER,2
92593480-e39a-40a9-ad45-966ade7e4bd2,H,H1,COL,3,R1,CTRL,1
92593480-e39a-40a9-ad45-966ade7e4bd2,H,H1,COL,3,R1,ORG,3
92593480-e39a-40a9-ad45-966ade7e4bd2,H,H1,COL,3,R1,USER,2
92593480-e39a-40a9-ad45-966ade7e4bd2,H,H1,COL,3,R2,CTRL,2
92593480-e39a-40a9-ad45-966ade7e4bd2,H,H1,COL,3,R2,ORG,3
92593480-e39a-40a9-ad45-966ade7e4bd2,H,H1,COL,3,R2,USER,1
e1ad1608-f56d-456a-ab00-2ab257ea89fc,H,H3,REL,1,R1,CTRL,2
e1ad1608-f56d-456a-ab00-2ab257ea89fc,H,H3,REL,1,R1,ORG,1
e1ad1608-f56d-456a-ab00-2ab257ea89fc,H,H3,REL,1,R1,USER,3
e1ad1608-f56d-456a-ab00-2ab257ea89fc,H,H3,REL,1,R2,CTRL,1
e1ad1608-f56d-456a-ab00-2ab257ea89fc,H,H3,REL,1,R2,ORG,2
e1ad1608-f56d-456a-ab00-2ab257ea89fc,H,H3,REL,1,R2,USER,3
e1ad1608-f56d-456a-ab00-2ab257ea89fc,H,H3,COL,2,R1,CTRL,1
e1ad1608-f56d-456a-ab00-2ab257ea89fc,H,H3,COL,2,R1,ORG,2
e1ad1608-f56d-456a-ab00-2ab257ea89fc,H,H3,COL,2,R1,USER,3
e1ad1608-f56d-456a-ab00-2ab257ea89fc,H,H3,COL,2,R2,CTRL,1
e1ad1608-f56d-456a-ab00-2ab257ea89fc,H,H3,COL,2,R2,ORG,2
e1ad1608-f56d-456a-ab00-2ab257ea89fc,H,H3,COL,2,R2,USER,3
e1ad1608-f56d-456a-ab00-2ab257ea89fc,H,H3,ADV,3,R1,CTRL,1
e1ad1608-f56d-456a-ab00-2ab257ea89fc,H,H3,ADV,3,R1,ORG,2
e1ad1608-f56d-456a-ab00-2ab257ea89fc,H,H3,ADV,3,R1,USER,3
e1ad1608-f56d-456a-ab00-2ab257ea89fc,H,H3,ADV,3,R2,CTRL,1
e1ad1608-f56d-456a-ab00-2ab257ea89fc,H,H3,ADV,3,R2,ORG,2
e1ad1608-f56d-456a-ab00-2ab257ea89fc,H,H3,ADV,3,R2,USER,3
7c7876c1-31ee-41c3-99b5-b696b4ce7c91,HA,HA1,ADV,1,R1,CTRL,2
7c7876c1-31ee-41c3-99b5-b696b4ce7c91,HA,HA1,ADV,1,R1,AI,1
7c7876c1-31ee-41c3-99b5-b696b4ce7c91,HA,HA1,ADV,1,R1,ORG,4
7c7876c1-31ee-41c3-99b5-b696b4ce7c91,HA,HA1,ADV,1,R1,USER,3
7c7876c1-31ee-41c3-99b5-b696b4ce7c91,HA,HA1,ADV,1,R2,CTRL,3
7c7876c1-31ee-41c3-99b5-b696b4ce7c91,HA,HA1,ADV,1,R2,AI,1
7c7876c1-31ee-41c3-99b5-b696b4ce7c91,HA,HA1,ADV,1,R2,ORG,4
7c7876c1-31ee-41c3-99b5-b696b4ce7c91,HA,HA1,ADV,1,R2,USER,2
7c7876c1-31ee-41c3-99b5-b696b4ce7c91,HA,HA1,COL,2,R1,CTRL,1
7c7876c1-31ee-41c3-99b5-b696b4ce7c91,HA,HA1,COL,2,R1,AI,3
7c7876c1-31ee-41c3-99b5-b696b4ce7c91,HA,HA1,COL,2,R1,ORG,4
7c7876c1-31ee-41c3-99b5-b696b4ce7c91,HA,HA1,COL,2,R1,USER,2
7c7876c1-31ee-41c3-99b5-b696b4ce7c91,HA,HA1,COL,2,R2,CTRL,1
7c7876c1-31ee-41c3-99b5-b696b4ce7c91,HA,HA1,COL,2,R2,AI,3
7c7876c1-31ee-41c3-99b5-b696b4ce7c91,HA,HA1,COL,2,R2,ORG,4
7c7876c1-31ee-41c3-99b5-b696b4ce7c91,HA,HA1,COL,2,R2,USER,2
7c7876c1-31ee-41c3-99b5-b696b4ce7c91,HA,HA1,REL,3,R1,CTRL,1
7c7876c1-31ee-41c3-99b5-b696b4ce7c91,HA,HA1,REL,3,R1,AI,2
7c7876c1-31ee-41c3-99b5-b696b4ce7c91,HA,HA1,REL,3,R1,ORG,3
7c7876c1-31ee-41c3-99b5-b696b4ce7c91,HA,HA1,REL,3,R1,USER,4
7c7876c1-31ee-41c3-99b5-b696b4ce7c91,HA,HA1,REL,3,R2,CTRL,1
7c7876c1-31ee-41c3-99b5-b696b4ce7c91,HA,HA1,REL,3,R2,AI,2
7c7876c1-31ee-41c3-99b5-b696b4ce7c91,HA,HA1,REL,3,R2,ORG,3
7c7876c1-31ee-41c3-99b5-b696b4ce7c91,HA,HA1,REL,3,R2,USER,4
54536746-5731-43eb-9410-1b8f7395c126,HA,HA1,REL,1,R1,CTRL,3
54536746-5731-43eb-9410-1b8f7395c126,HA,HA1,REL,1,R1,AI,2
54536746-5731-43eb-9410-1b8f7395c126,HA,HA1,REL,1,R1,ORG,1
54536746-5731-43eb-9410-1b8f7395c126,HA,HA1,REL,1,R1,USER,4
54536746-5731-43eb-9410-1b8f7395c126,HA,HA1,REL,1,R2,CTRL,3
54536746-5731-43eb-9410-1b8f7395c126,HA,HA1,REL,1,R2,AI,2
54536746-5731-43eb-9410-1b8f7395c126,HA,HA1,REL,1,R2,ORG,1
54536746-5731-43eb-9410-1b8f7395c126,HA,HA1,REL,1,R2,USER,4
54536746-5731-43eb-9410-1b8f7395c126,HA,HA1,ADV,2,R1,CTRL,3
54536746-5731-43eb-9410-1b8f7395c126,HA,HA1,ADV,2,R1,AI,2
54536746-5731-43eb-9410-1b8f7395c126,HA,HA1,ADV,2,R1,ORG,1
54536746-5731-43eb-9410-1b8f7395c126,HA,HA1,ADV,2,R1,USER,4
54536746-5731-43eb-9410-1b8f7395c126,HA,HA1,ADV,2,R2,CTRL,3
54536746-5731-43eb-9410-1b8f7395c126,HA,HA1,ADV,2,R2,AI,2
54536746-5731-43eb-9410-1b8f7395c126,HA,HA1,ADV,2,R2,ORG,1
54536746-5731-43eb-9410-1b8f7395c126,HA,HA1,ADV,2,R2,USER,4
54536746-5731-43eb-9410-1b8f7395c126,HA,HA1,COL,3,R1,CTRL,3
54536746-5731-43eb-9410-1b8f7395c126,HA,HA1,COL,3,R1,AI,2
54536746-5731-43eb-9410-1b8f7395c126,HA,HA1,COL,3,R1,ORG,1
54536746-5731-43eb-9410-1b8f7395c126,HA,HA1,COL,3,R1,USER,4
54536746-5731-43eb-9410-1b8f7395c126,HA,HA1,COL,3,R2,CTRL,4
54536746-5731-43eb-9410-1b8f7395c126,HA,HA1,COL,3,R2,AI,3
54536746-5731-43eb-9410-1b8f7395c126,HA,HA1,COL,3,R2,ORG,2
54536746-5731-43eb-9410-1b8f7395c126,HA,HA1,COL,3,R2,USER,1
2246a466-6266-4a12-b215-dd1ef271bf91,H,H2,ADV,1,R1,CTRL,2
2246a466-6266-4a12-b215-dd1ef271bf91,H,H2,ADV,1,R1,ORG,1
2246a466-6266-4a12-b215-dd1ef271bf91,H,H2,ADV,1,R1,USER,3
2246a466-6266-4a12-b215-dd1ef271bf91,H,H2,ADV,1,R2,CTRL,1
2246a466-6266-4a12-b215-dd1ef271bf91,H,H2,ADV,1,R2,ORG,2
