dv,contrast,n_A,n_B,mean_A,mean_B,diff,se,ci_lo,ci_hi,z,p_raw,d,d_lo,d_hi,status,p_holm_4dv,p_bh_primary12
OH,C1 human-involved vs AI-only,236,36,5.632768361581921,5.237654320987654,0.39639813565252746,0.1705329670196034,0.06215352029410476,0.7306427510109501,2.3244663045530665,0.020100515482816612,0.41865640129501674,0.06619815527744988,0.7711146473125836,primary,0.040201030965633225,0.08040206193126645
OH,C2 H vs HA,118,118,5.596045197740112,5.669491525423729,-0.07622457140000097,0.12411156110880268,-0.3194832311732542,0.1670340883732523,-0.6141617325494644,0.539108458071754,-0.0846401939671385,-0.3399246858102846,0.1706442978760076,primary,1.0,0.588118317896459
OH,C3 disability disclosed vs no mention,159,77,5.603074772886094,5.6940836940836945,-0.0912065152196869,0.13233724425342577,-0.3505875139564014,0.1681744835170276,-0.6891976309029562,0.49069890748632605,-0.10130596917107078,-0.3735842182920802,0.1709722799499387,primary,0.68454524930822,0.588118317896459
OH,C4 intellectual vs mobility,78,81,5.6253561253561255,5.581618655692729,0.04341168091168283,0.15119582395182427,-0.2529321340338927,0.3397554958572584,0.2871222218777362,0.7740187376152285,0.04881686320459681,-0.26216100003430726,0.3597947264435009,secondary,1.0,
OH,C5a intellectual vs no mention,78,77,5.6253561253561255,5.6940836940836945,-0.06950067476384549,0.15311101116533044,-0.36959825664789314,0.2305969071202022,-0.4539234261133455,0.649883941917289,-0.0769011292853507,-0.3918860118999896,0.23808375332928822,secondary,0.8165616803844813,
OH,C5b mobility vs no mention,81,77,5.581618655692729,5.6940836940836945,-0.11291235567552832,0.15170167857788297,-0.41024764568817895,0.1844229343371223,-0.7443052491839081,0.4566918263274561,-0.12366078458698947,-0.4359170474899744,0.18859547831599544,secondary,1.0,
AU1,C1 human-involved vs AI-only,236,36,5.42090395480226,4.611111111111112,0.8119330795197531,0.23393640558554732,0.35341772457208037,1.2704484344674258,3.47074273235698,0.0005190210079389692,0.6185671265085643,0.2640377384724167,0.9730965145447119,primary,0.0020760840317558767,0.006228252095267631
AU1,C2 H vs HA,118,118,5.5,5.341807909604519,0.15049281531956546,0.17025571656222202,-0.1832083891423897,0.48419401978152066,0.8839222456566739,0.3767381876355572,0.1249217814400394,-0.1304972407800395,0.3803408036601183,primary,1.0,0.5023175835140763
AU1,C3 disability disclosed vs no mention,159,77,5.327044025157233,5.6147186147186146,-0.28884801904706525,0.18153967403959126,-0.6446657801646641,0.06696974207053363,-1.5911013423108358,0.11158677050075416,-0.24076888402766738,-0.513759230787264,0.03222146273192933,primary,0.44634708200301665,0.2707226789649042
AU1,C4 intellectual vs mobility,78,81,5.222222222222222,5.42798353909465,-0.20907859078590998,0.20740979420576794,-0.6156017874292151,0.19744460585739518,-1.008045890921074,0.31343243188713477,-0.16711193805008764,-0.47858554448598034,0.14436166838580508,secondary,1.0,
AU1,C5a intellectual vs no mention,78,77,5.222222222222222,5.6147186147186146,-0.3933873144400203,0.21003703995526368,-0.805059912752337,0.0182852838722965,-1.8729425749087345,0.06107631520041957,-0.32467915056869623,-0.6416153274941926,-0.007742973643199869,secondary,0.24430526080167828,
AU1,C5b mobility vs no mention,81,77,5.42798353909465,5.6147186147186146,-0.18430872365411027,0.20810372345028466,-0.5921920216166683,0.22357457430844768,-0.8856579815023881,0.37580185708298786,-0.16284044142841517,-0.4753151377809465,0.14963425492411617,secondary,1.0,
CR1,C1 human-involved vs AI-only,236,36,5.687853107344632,5.185185185185185,0.5035627164639158,0.17376376546750283,0.1629857361476103,0.8441396967802213,2.897973090702225,0.0037558281298934364,0.5204417884815763,0.16702726647359478,0.8738563104895578,primary,0.01126748438968031,0.02253496877936062
CR1,C2 H vs HA,118,118,5.69491525423729,5.6807909604519775,0.013957188154965335,0.12646289203328412,-0.23391008023027154,0.2618244565402022,0.1103658783265205,0.9121192129295745,0.016033145893908553,-0.23914121925303636,0.27120751104085344,primary,1.0,0.9121192129295745
CR1,C3 disability disclosed vs no mention,159,77,5.618448637316561,5.831168831168831,-0.21333563740509015,0.13484441322377663,-0.47763068732369235,0.05095941251351205,-1.5820873279418406,0.11362963606451529,-0.24669672506225152,-0.5197301442274948,0.026336694102991692,primary,0.44634708200301665,0.2707226789649042
CR1,C4 intellectual vs mobility,78,81,5.589743589743589,5.6460905349794235,-0.05578486554096301,0.1540602743973282,-0.35774300335972625,0.24617327227780023,-0.36209766443159386,0.7172790489105321,-0.061874952639627626,-0.37288088967195254,0.24913098439269732,secondary,1.0,
CR1,C5a intellectual vs no mention,78,77,5.589743589743589,5.831168831168831,-0.24122807017557166,0.1560117454097099,-0.547011091178603,0.06455495082745974,-1.5462173667890906,0.12205208064805784,-0.2962356542486108,-0.6128263690897156,0.020355060592493868,secondary,0.3661562419441735,
CR1,C5b mobility vs no mention,81,77,5.6460905349794235,5.831168831168831,-0.18544320463460864,0.15457571259171066,-0.48841160131436157,0.11752519204514425,-1.1996917337488198,0.23025908460240696,-0.2108589016940246,-0.5236824718820902,0.10196466849404096,secondary,0.9210363384096278,
CR2,C1 human-involved vs AI-only,236,36,5.861581920903953,5.6388888888888875,0.22347995274829327,0.14965611493195397,-0.06984603251833651,0.516805938014923,1.4932898187949468,0.1353613394824521,0.2684500944921972,-0.08297270853424171,0.6198728975186361,primary,0.1353613394824521,0.2707226789649042
CR2,C2 H vs HA,118,118,5.793785310734463,5.929378531073446,-0.1367034952399857,0.10891767368093765,-0.3501821356546235,0.07677514517465209,-1.2551084743183514,0.20943938455519562,-0.17270190647312814,-0.42834739791800414,0.08294358497174784,primary,0.8377575382207825,0.3590389449517639
CR2,C3 disability disclosed vs no mention,159,77,5.825995807127883,5.935064935064935,-0.11029289139059653,0.11613635874576805,-0.33792015453230195,0.11733437175110886,-0.9496844276996547,0.34227262465411,-0.13911487664107555,-0.4115289524582433,0.13329919917609215,primary,0.68454524930822,0.5023175835140763
CR2,C4 intellectual vs mobility,78,81,5.824786324786324,5.827160493827161,-0.0016364394413179717,0.13268624830742887,-0.26170148612387856,0.2584286072412426,-0.01233315028642912,0.9901598192604285,-0.002055402011794816,-0.3129870562082407,0.30887625218465103,secondary,1.0,
CR2,C5a intellectual vs no mention,78,77,5.824786324786324,5.935064935064935,-0.11111111111125552,0.13436697598577788,-0.3744703840433802,0.15224816182086912,-0.8269227635443408,0.40828084019224065,-0.14264097867462408,-0.45790964122512745,0.17262768387587932,secondary,0.8165616803844813,
CR2,C5b mobility vs no mention,81,77,5.827160493827161,5.935064935064935,-0.10947467166993755,0.1331301755983188,-0.37040981584264243,0.1514604725027673,-0.8223129818460182,0.41089879013783726,-0.13551217871777826,-0.44782822789200416,0.17680387045644763,secondary,1.0,
OH1,C1 human-involved vs AI-only,236,36,5.766949152542373,5.518518518518516,0.24849097023361694,0.1506976189664963,-0.04687636294071584,0.5438583034079497,1.648937600592498,0.09916041898055845,0.29739464256006437,-0.05419267933603261,0.6489819644561614,secondary,,
OH1,C2 H vs HA,118,118,5.740112994350284,5.793785310734462,-0.05410444758963253,0.10967566607318445,-0.26906875309307404,0.16085985791380897,-0.4933131434417702,0.621791342866693,-0.06640357377647056,-0.3216441518990265,0.1888370043460854,secondary,,
OH1,C3 disability disclosed vs no mention,159,77,5.748427672955975,5.805194805194805,-0.057481718288921034,0.11694458824073868,-0.28669311124076885,0.17172967466292677,-0.49152952824623963,0.6230519727132241,-0.07054793904178716,-0.34274717341637573,0.20165129533280143,secondary,,
OH1,C4 intellectual vs mobility,78,81,5.722222222222222,5.77366255144033,-0.051253387533875955,0.13360965369586428,-0.31312830877777,0.21062153371001804,-0.3836054215853599,0.7012709210590239,-0.06413173967119369,-0.37514319959716574,0.2468797202547784,secondary,,
OH1,C5a intellectual vs no mention,78,77,5.722222222222222,5.805194805194805,-0.083108412055859,0.13530207808743286,-0.3483004851072274,0.18208366099550938,-0.6142434264916016,0.5390544806364602,-0.09914679844085733,-0.41420871001544945,0.2159151131337348,secondary,,
OH1,C5b mobility vs no mention,81,77,5.77366255144033,5.805194805194805,-0.03185502452198306,0.13405667041657585,-0.29460609853847175,0.23089604949450562,-0.23762356936805024,0.8121730683331589,-0.03925924602353641,-0.3512477185177375,0.27272922647066467,secondary,,
OH2,C1 human-involved vs AI-only,236,36,5.805084745762711,5.425925925925927,0.3800763635166906,0.15316347442069042,0.0798759536521374,0.6802767733812438,2.4815078461379376,0.013082783007461301,0.44755004195774556,0.09484115912655333,0.8002589247889378,secondary,,
OH2,C2 H vs HA,118,118,5.799435028248588,5.810734463276836,-0.012574379454958564,0.11147028194856239,-0.23105613207414083,0.2059073731642237,-0.11280476944304288,0.9101853370131986,-0.015470884387052504,-0.27064496704091706,0.23970319826681205,secondary,,
OH2,C3 disability disclosed vs no mention,159,77,5.779874213836478,5.857142857142857,-0.07659035800890011,0.11885814502238902,-0.30955232225278256,0.15637160623498236,-0.6443845980809558,0.5193260695066715,-0.09432517095337391,-0.36658300802787275,0.17793266612112496,secondary,,
OH2,C4 intellectual vs mobility,78,81,5.807692307692307,5.753086419753086,0.05444027517198356,0.13579589987253532,-0.21171968857818563,0.3206002389221528,0.40089778279818367,0.6884953823921967,0.06919713946747263,-0.24182743664049866,0.38022171557544393,secondary,,
OH2,C5a intellectual vs no mention,78,77,5.807692307692307,5.857142857142857,-0.04937022042290834,0.13751601729565527,-0.31890161432239267,0.220161173476576,-0.3590143271584419,0.7195843712962267,-0.059630720183920696,-0.37456921547440153,0.25530777510656016,secondary,,
OH2,C5b mobility vs no mention,81,77,5.753086419753086,5.857142857142857,-0.1038104955948919,0.13625023109911918,-0.3708609485491655,0.16323995735938168,-0.7619106019671404,0.44611336191816564,-0.12577726633083988,-0.43804380594122083,0.1864892732795411,secondary,,
OH3,C1 human-involved vs AI-only,236,36,5.326271186440678,4.76851851851852,0.560627073207291,0.2711850004748015,0.029104472276680116,1.092149674137902,2.067323311487445,0.03870369907817397,0.37148109263735163,0.019396460699964035,0.7235657245747392,secondary,,
OH3,C2 H vs HA,118,118,5.248587570621468,5.403954802259888,-0.16199488715537458,0.19736473449353606,-0.5488297667627052,0.22483999245195607,-0.8207894260901007,0.4117662225697972,-0.11243114311421552,-0.3678029257253238,0.14294063949689273,secondary,,
OH3,C3 disability disclosed vs no mention,159,77,5.280922431865828,5.41991341991342,-0.1395474693612952,0.21044538351094091,-0.5520204210427394,0.272925482320149,-0.6631053959615143,0.5072630550270434,-0.09680966686958546,-0.36907460188266317,0.17545526814349222,secondary,,
OH3,C4 intellectual vs mobility,78,81,5.346153846153846,5.218106995884774,0.12704815509693548,0.24043468138011193,-0.34420382040808384,0.5983001306019549,0.5284102707965014,0.5972146103961204,0.08796992602255302,-0.22311194427856626,0.39905179632367227,secondary,,
OH3,C5a intellectual vs no mention,78,77,5.346153846153846,5.41991341991342,-0.07602339181282747,0.24348025112818414,-0.5532446840240683,0.4011979003984134,-0.3122363783533463,0.7548608871728197,-0.05468087947555709,-0.36960824249155444,0.2602464835404402,secondary,,
OH3,C5b mobility vs no mention,81,77,5.218106995884774,5.41991341991342,-0.20307154690976295,0.2412391017183333,-0.6759001862776962,0.26975709245817026,-0.841785371705064,0.3999081014947091,-0.13598228859132663,-0.44830082181016573,0.1763362446275125,secondary,,
CR3,C2 H vs HA,118,118,6.135593220338982,5.731638418079095,0.4012461187364543,0.13247213040561429,0.14160074314145032,0.6608914943314583,3.0289096846852637,0.0024543804469535726,0.3959247206550651,0.13826661004580582,0.6535828312643244,secondary,,
CR3,C3 disability disclosed vs no mention,159,77,5.878406708595389,6.0476190476190474,-0.1641655832043644,0.14125192304116482,-0.4410193523650474,0.11268818595631866,-1.1622183944109694,0.24514676470925412,-0.15931220493415285,-0.4318163073836395,0.11319189751533379,secondary,,
CR3,C4 intellectual vs mobility,78,81,5.905982905982907,5.851851851851852,0.05100323118615674,0.16138087965690576,-0.26530329294137855,0.36730975531369203,0.3160425900180315,0.7519701814233601,0.04596420451785136,-0.26500840701235756,0.3569368160480603,secondary,,
CR3,C5a intellectual vs no mention,78,77,5.905982905982907,6.0476190476190474,-0.13866396761128602,0.16342508027796068,-0.45897712495608894,0.1816491897335169,-0.848486458598889,0.3961671107124791,-0.14712202529306204,-0.4624162057165091,0.16817215513038505,secondary,,
