ctrl,actor,question,share_none,share_disclosed,OR,ci_lo,ci_hi,p
H,CTRL,responsibility,0.7521367521367521,0.7088607594936709,0.8032018920463622,0.4159481864672336,1.5509943314482433,0.5139318158004538
H,CTRL,credit,0.7350427350427351,0.70042194092827,0.8485147610180528,0.44207682923350233,1.6286248273040238,0.6214479802741564
H,ORG,responsibility,0.05128205128205128,0.10126582278481013,2.101592231472567,0.6977900520467041,6.32953980130721,0.18674013923539134
H,ORG,credit,0.06837606837606838,0.11392405063291139,1.828132801147141,0.5981015951496362,5.587795728573429,0.2899150442845789
H,USER,responsibility,0.19658119658119658,0.189873417721519,0.956566158439424,0.47450784256392636,1.9283534082964806,0.9012024128337599
H,USER,credit,0.19658119658119658,0.18565400843881857,0.9022190544335048,0.4617739550980468,1.7627655548699233,0.7633326274925956
HA,CTRL,responsibility,0.5614035087719298,0.55,0.9682007685327711,0.5191363423514325,1.8057158625062346,0.9190572531909874
HA,CTRL,credit,0.5526315789473685,0.48333333333333334,0.7580316401183309,0.4092058027298945,1.4042126567784092,0.3784701314748936
HA,AI,responsibility,0.17543859649122806,0.13333333333333333,0.6777487223992115,0.29885931539847854,1.5369884994259135,0.35180429630883214
HA,AI,credit,0.21052631578947367,0.14166666666666666,0.5932172808760111,0.2752627329876079,1.2784394694859431,0.182549403653268
HA,ORG,responsibility,0.11403508771929824,0.09166666666666666,0.7909673023776137,0.290518589547283,2.153491363170397,0.6463205446022489
HA,ORG,credit,0.07894736842105263,0.1,1.3176237076204427,0.4777211540930408,3.6341958483699757,0.5941309764451665
HA,USER,responsibility,0.14912280701754385,0.225,1.635889645421453,0.7177765949479633,3.7283675043641384,0.2415901573033744
HA,USER,credit,0.15789473684210525,0.275,1.872648399270791,0.8308544315497165,4.220729762192544,0.13026572318900953
