moderator,dv,slope_AI,slope_human,interaction,p_interaction,diff_at_minus1SD,p_minus1SD,diff_at_mean,p_mean,diff_at_plus1SD,p_plus1SD
GAAIS positive,OH,0.5028539740911663,0.2781331223867115,-0.2247208517044548,0.019464516059088943,0.44223603794001826,0.013630346125236207,0.12233986299702077,0.42994810965777075,-0.19755631194597673,0.39340498356166953
GAAIS positive,AU1,0.47769147059925937,0.22626285455983852,-0.25142861603942085,0.08291256283574777,0.9114796269270293,0.0007656197130687454,0.5535642313054318,0.018099265176646177,0.19564883568383412,0.5759014755088184
GAAIS positive,CR1,0.2809361201796141,0.09645659898795891,-0.1844795211916552,0.09263763919465207,0.6173820985338806,0.0025954648644686547,0.35477053962905886,0.04530705993142369,0.09215898072423712,0.727684790381994
GAAIS positive,CR2,0.3773124695110557,0.10307504928366018,-0.2742374202273955,0.003013947130314998,0.41646315035012127,0.015341135413892766,0.026078808658699378,0.8606297001043476,-0.3643055330327225,0.10051954256496178
NARS negative-to-robots,OH,-0.6214461226888889,-0.344949458686558,0.27649666400233086,0.06950129471630317,0.006725906220658606,0.9775317423652401,0.3069182931330883,0.045868055456009686,0.607110680045518,0.004385569148931339
NARS negative-to-robots,AU1,-0.612134344528723,-0.3040295768774357,0.30810476765128725,0.1707591573712247,0.38912287768750153,0.270458229160761,0.7236321780223504,0.0014534217371972103,1.0581414783571992,0.0007839678413007234
NARS negative-to-robots,CR1,-0.2761668047500597,-0.12518434670969308,0.15098245804036664,0.376325938909299,0.3001136715484285,0.2631090819963823,0.46403530374816215,0.007184426931527166,0.6279569359478958,0.008685978428521266
NARS negative-to-robots,CR2,-0.3696386463577917,-0.17429089180592805,0.19534775455186365,0.17389094619974155,-0.04123872199353579,0.854909829833125,0.17085030601879875,0.2392166723388217,0.3829393340311333,0.057046990571654334
GAAIS negative (reversed),OH,0.40463828314297096,0.2505117150689745,-0.1541265680739964,0.13527133496666321,0.4425392563588749,0.022223343654661932,0.21886873941835217,0.16785522860928725,-0.004801777522170619,0.984126224812826
GAAIS negative (reversed),AU1,0.3665628245067646,0.24233959759776452,-0.12422322690900005,0.41048427575513,0.829471244324881,0.003434559672628919,0.6491968521421118,0.005226284820859859,0.46892245995934256,0.18467963551764488
GAAIS negative (reversed),CR1,0.2139148494288548,0.05949436756176971,-0.1544204818670851,0.1798616628230445,0.6380197655430807,0.0031443471686228557,0.413922717013244,0.01946032623556092,0.18982566848340734,0.48103688380530063
GAAIS negative (reversed),CR2,0.30737279335412,0.09072028186727174,-0.21665251148684825,0.025931941546065818,0.4092669425108495,0.024521764073141553,0.09485794835572917,0.5249984886553819,-0.2195510457993912,0.3333151638575108
