sample,n,dv,contrast,diff,se,p
primary n=272,272,OH,C1 human vs AI,0.3963981356525497,0.17053296701960305,0.02010051548280935
primary n=272,272,OH,C2 H vs HA,-0.07622457139995421,0.12411156110880263,0.5391084580720027
primary n=272,272,OH,C3 disclosed vs none,-0.09120651521975676,0.13233724425342594,0.49069890748599443
primary n=272,272,AU1,C1 human vs AI,0.8119330795197529,0.23393640558554724,0.0005190210079389692
primary n=272,272,AU1,C2 H vs HA,0.15049281531956524,0.17025571656222194,0.37673818763555766
primary n=272,272,AU1,C3 disclosed vs none,-0.288848019047065,0.18153967403959118,0.11158677050075437
primary n=272,272,CR1,C1 human vs AI,0.5035627164639154,0.17376376546750283,0.0037558281298934655
primary n=272,272,CR1,C2 H vs HA,0.01395718815496444,0.12646289203328406,0.9121192129295801
primary n=272,272,CR1,C3 disclosed vs none,-0.2133356374050888,0.1348444132237766,0.11362963606451751
primary n=272,272,CR2,C1 human vs AI,0.2234799527482702,0.14965611493195413,0.13536133948249282
primary n=272,272,CR2,C2 H vs HA,-0.13670349524003245,0.10891767368093759,0.20943938455503963
primary n=272,272,CR2,C3 disclosed vs none,-0.1102928913905237,0.1161363587457678,0.34227262465442765
believers BEL1>=5,206,OH,C1 human vs AI,0.40417198808003396,0.18070011834009855,0.025305941926959702
believers BEL1>=5,206,OH,C2 H vs HA,0.00851426138782458,0.13872736703276878,0.9510613125935486
believers BEL1>=5,206,OH,C3 disclosed vs none,-0.16251596424009923,0.15083431490962582,0.28128066339775026
believers BEL1>=5,206,AU1,C1 human vs AI,0.8293103448275922,0.24263249607976886,0.0006309029730380936
believers BEL1>=5,206,AU1,C2 H vs HA,0.38888888888890016,0.18627418535710843,0.03682283477765339
believers BEL1>=5,206,AU1,C3 disclosed vs none,-0.3153735632184081,0.2025306162341526,0.11943134370769097
believers BEL1>=5,206,CR1,C1 human vs AI,0.51872605363986,0.18990698246774512,0.006305164662611207
believers BEL1>=5,206,CR1,C2 H vs HA,0.08668582375481425,0.14579567462874363,0.5521305279225975
believers BEL1>=5,206,CR1,C3 disclosed vs none,-0.2040229885057851,0.15851948443754998,0.19807579257117913
believers BEL1>=5,206,CR2,C1 human vs AI,0.17736270753514483,0.15975678279593886,0.2669108915285119
believers BEL1>=5,206,CR2,C2 H vs HA,-0.04054916985947023,0.12264871792277368,0.7409373841436444
believers BEL1>=5,206,CR2,C3 disclosed vs none,-0.1017720306514049,0.13335245768814855,0.4453555986125096
disbelievers BEL1<=3,46,OH,C1 human vs AI,0.8806290417401542,0.5262600473506239,0.09425400649751012
disbelievers BEL1<=3,46,OH,C2 H vs HA,-0.45673133450910763,0.2743272783859658,0.09592990876748476
disbelievers BEL1<=3,46,OH,C3 disclosed vs none,0.13641975308641274,0.2954225377479171,0.6442402269245389
disbelievers BEL1<=3,46,AU1,C1 human vs AI,1.545943562610233,0.8136392913101943,0.05742845704622832
disbelievers BEL1<=3,46,AU1,C2 H vs HA,-0.41287477954144014,0.4241314792880354,0.3303250242721151
disbelievers BEL1<=3,46,AU1,C3 disclosed vs none,-0.09179894179895187,0.45674640410262474,0.8407107040055428
disbelievers BEL1<=3,46,CR1,C1 human vs AI,0.49770723104057135,0.5623596637585362,0.37613847774703923
disbelievers BEL1<=3,46,CR1,C2 H vs HA,-0.22998236331568173,0.293145179478431,0.4327268336207417
disbelievers BEL1<=3,46,CR1,C3 disclosed vs none,-0.24153439153441278,0.315687500563623,0.44420844482528
disbelievers BEL1<=3,46,CR2,C1 human vs AI,0.858377425044094,0.47006286382183365,0.06783660051869875
disbelievers BEL1<=3,46,CR2,C2 H vs HA,-0.5562610229276814,0.24503297704574206,0.023198629527447986
disbelievers BEL1<=3,46,CR2,C3 disclosed vs none,-0.11719576719577923,0.2638755589188374,0.6569466383820679
