dv,contrast,n_A,n_B,d,d90_lo,d90_hi,p_tost_035,p_tost_050
OH,C2 H vs HA,118,118,-0.08155521647597301,-0.2958049838838543,0.13269455093190824,0.02016240113427707,0.0007471298405195016
OH,C3 disclosed vs none,159,77,-0.10108649522382407,-0.32960518281698375,0.12743219236933562,0.039866477334042826,0.0026740759142254095
OH,C4 intellectual vs mobility,78,81,0.04918321586802739,-0.211816647483427,0.31018307921948174,0.02983039747351151,0.002532214854131152
AU1,C2 H vs HA,118,118,0.1313128317784752,-0.0830786017264861,0.34570426528343645,0.04716885749103473,0.0025149567988425334
AU1,C3 disclosed vs none,159,77,-0.23979077343274202,-0.46890179070948446,-0.010679756155999559,0.20264870314676187,0.02524095754399698
AU1,C4 intellectual vs mobility,78,81,-0.16446051367114362,-0.4258615528015144,0.09694052545922716,0.12252792596299208,0.0182276253109978
CR1,C2 H vs HA,118,118,0.016225106403525508,-0.19793917579925446,0.23038938860630548,0.00551027990288717,0.00012838608087996866
CR1,C3 disclosed vs none,159,77,-0.2459850394255322,-0.47513370140718114,-0.016836377443883277,0.21703050471443225,0.028593764331539935
CR1,C4 intellectual vs mobility,78,81,-0.06249839511210798,-0.3235224990392,0.19852570881498405,0.03558237841987516,0.0031925801870127317
CR2,C2 H vs HA,118,118,-0.17129926060971612,-0.38585242296636557,0.04325390174693336,0.08564351908026879,0.006146093832341914
CR2,C3 disclosed vs none,159,77,-0.1375713165826609,-0.36619920406913054,0.09105657090380873,0.06383952784212533,0.004936986563939796
CR2,C4 intellectual vs mobility,78,81,-0.002982005749596882,-0.2639425773387656,0.2579785658395718,0.014984525988968227,0.0010186313214377992
PE,C2 H vs HA,118,118,-0.16748164128483412,-0.3820175232363514,0.047054240666683206,0.0811451905309302,0.005648859610197208
PE,C3 disclosed vs none,159,77,-0.13163510287073363,-0.3602429528090936,0.09697274706762632,0.06273774936309975,0.005152020650482255
PE,C4 intellectual vs mobility,78,81,0.07361067633025403,-0.18743808026113962,0.3346594329216477,0.041820331198203005,0.004007121392159606
HM,C2 H vs HA,118,118,-0.03772351927123323,-0.2519033247655473,0.17645628622308085,0.008621386264727342,0.0002322534950932414
HM,C3 disclosed vs none,159,77,-0.2547716137056099,-0.4839753103929465,-0.025567917018273295,0.23443880855780674,0.03162901962194235
HM,C4 intellectual vs mobility,78,81,0.06612692245418833,-0.19490478901924707,0.32715863392762373,0.03772940607191742,0.0034770058587607054
CR3,C2 H vs HA,118,118,0.39859748113119153,0.18232056195815946,0.6148744003042236,0.6453623702547227,0.21841702541413477
CR3,C3 disclosed vs none,159,77,-0.16420975886502265,-0.39293841738987845,0.06451889965983312,0.0724510137181685,0.004418589494154958
CR3,C4 intellectual vs mobility,78,81,0.04878300423291645,-0.21221621997117276,0.30978222843700565,0.029381128313169826,0.0024672529949873105
