question,actor,group_A,group_B,mean_rank_A,mean_rank_B,p_mw
responsibility,CTRL,H,HA,1.3728813559322033,1.8192090395480225,0.00015433161416290912
responsibility,ORG,H,HA,2.2598870056497176,2.748587570621469,7.118492221732469e-09
responsibility,USER,H,HA,2.367231638418079,3.1045197740112993,1.71334337273459e-11
responsibility,AI,HA,A,2.3276836158192094,1.574074074074074,2.2730619043397695e-08
responsibility,ORG,HA,A,2.748587570621469,2.0370370370370368,9.360638473731798e-08
responsibility,USER,HA,A,3.1045197740112993,2.388888888888889,4.824310703539196e-06
credit,CTRL,H,HA,1.3672316384180792,1.8531073446327684,6.356989531323536e-06
credit,ORG,H,HA,2.338983050847458,2.782485875706214,5.468491560936736e-07
credit,USER,H,HA,2.293785310734463,3.036723163841808,7.200978214395296e-11
credit,AI,HA,A,2.32768361581921,1.574074074074074,2.0036839186565534e-07
credit,ORG,HA,A,2.782485875706214,2.027777777777778,1.0300413212912786e-07
credit,USER,HA,A,3.036723163841808,2.398148148148149,3.659275796212056e-05
