,estimate,se,z,p,ci_lo,ci_hi
Intercept,5.472722180457027,0.1586844809134126,34.488074378510014,1.2107537286967841e-260,5.1617063129613046,5.78373804795275
"C(condition, Treatment('H1'))[T.A]",-0.3976733143400096,0.22027331335748965,-1.8053631113025979,0.07101787967495057,-0.8294010752759948,0.03405444659597573
"C(condition, Treatment('H1'))[T.H2]",-0.09116809116811778,0.21582288867121427,-0.42242086429954023,0.6727178514638165,-0.5141731800030954,0.3318369976668598
"C(condition, Treatment('H1'))[T.H3]",-0.02699430199432999,0.2144697537730146,-0.12586530976717386,0.8998385430389405,-0.447347295162612,0.393358691173952
"C(condition, Treatment('H1'))[T.HA1]",0.11905832958461832,0.2172381358921413,0.5480544615045434,0.5836545078783659,-0.3067205928325967,0.5448372520018333
"C(condition, Treatment('H1'))[T.HA2]",0.07122507122504512,0.21582288867121424,0.3300163002337986,0.7413876456731057,-0.35178001760993244,0.4942301600600227
"C(condition, Treatment('H1'))[T.HA3]",-0.07977207977210832,0.21317465477496775,-0.3742099634514133,0.7082481118679729,-0.4975867255478046,0.33804256600358795
"C(segment, Treatment('REL'))[T.ADV]",0.3623213084218003,0.05390429710459841,6.7215663292804875,1.7978136226295712e-11,0.2566708274848407,0.46797178935875994
"C(segment, Treatment('REL'))[T.COL]",0.19615177797396377,0.05390867387442575,3.6385940123639005,0.0002741305573370552,0.09049271872577395,0.30181083722215357
"C(pos, Treatment(1))[T.2]",-0.05007875146603752,0.053915238362978214,-0.9288422528875421,0.3529708435912813,-0.1557506768753671,0.05559317394329204
"C(pos, Treatment(1))[T.3]",-0.020577970317807885,0.05390429710459842,-0.38175009086710526,0.7026467416648222,-0.1262284512547675,0.08507251061915172
Group Var,1.9671225743440495,0.24400485077757025,8.061817492871228,7.516836968518627e-16,1.4888818547669416,2.445363293921157
