dv,interaction,p,chi2,df
OH,clip x control source (2x2 df=4),0.38720095479233796,4.141450438244647,4
OH,clip x human-vs-AI (df=2),0.13150748017701563,4.057383091013435,2
OH,position x condition (df=12),0.06575342435094123,20.071071075344662,12
OH,"control source x profile, within H/HA (df=2)",0.7242104134278241,0.6453466050770658,2
OH,"clip x profile, within H/HA (df=4)",0.3836482827774339,4.168759233763922,4
OH,"profile main effect, within H/HA (df=2)",0.7261137742253445,0.6400971252533054,2
AU1,clip x control source (2x2 df=4),0.7017289828396922,2.185258705017077,4
AU1,clip x human-vs-AI (df=2),0.6575730146139067,0.8383989445064799,2
AU1,position x condition (df=12),0.3197169909164367,13.70837972089339,12
AU1,"control source x profile, within H/HA (df=2)",0.18000519615381227,3.4295391219748126,2
AU1,"clip x profile, within H/HA (df=4)",0.8507202970212071,1.362299818003521,4
AU1,"profile main effect, within H/HA (df=2)",0.12437911003699909,4.168842077051522,2
CR1,clip x control source (2x2 df=4),0.41543812968589977,3.9309011257237216,4
CR1,clip x human-vs-AI (df=2),0.6741971651001895,0.7884653620521931,2
CR1,position x condition (df=12),0.5622550074385455,10.614010830295229,12
CR1,"control source x profile, within H/HA (df=2)",0.7728293495722094,0.5153940371601493,2
CR1,"clip x profile, within H/HA (df=4)",0.11175186772000234,7.499034661004771,4
CR1,"profile main effect, within H/HA (df=2)",0.19091119196396622,3.311893845208033,2
CR2,clip x control source (2x2 df=4),0.18347358756629162,6.2176411669743175,4
CR2,clip x human-vs-AI (df=2),0.05128571795106829,5.940685936159753,2
CR2,position x condition (df=12),0.012038162280520903,25.646856415873117,12
CR2,"control source x profile, within H/HA (df=2)",0.9837709259388148,0.03272441574881668,2
CR2,"clip x profile, within H/HA (df=4)",0.15257157252768494,6.700772108501042,4
CR2,"profile main effect, within H/HA (df=2)",0.6005706173168581,1.0197500936919823,2
OH1,clip x control source (2x2 df=4),0.28273758021899065,5.044740414490661,4
OH1,clip x human-vs-AI (df=2),0.08753645935316623,4.871399788165945,2
OH1,position x condition (df=12),0.4327328631661347,12.16232416744333,12
OH1,"control source x profile, within H/HA (df=2)",0.9294947516980052,0.14622823641548166,2
OH1,"clip x profile, within H/HA (df=4)",0.4855239956517603,3.4499841901524633,4
OH1,"profile main effect, within H/HA (df=2)",0.8119311429423519,0.4166794834964094,2
OH2,clip x control source (2x2 df=4),0.47167259361891645,3.54099374388079,4
OH2,clip x human-vs-AI (df=2),0.21065895934965584,3.1150295190764155,2
OH2,position x condition (df=12),0.11401502903151506,18.055522787622067,12
OH2,"control source x profile, within H/HA (df=2)",0.9093084873060281,0.1901417448079883,2
OH2,"clip x profile, within H/HA (df=4)",0.5189292484715775,3.2372891468330636,4
OH2,"profile main effect, within H/HA (df=2)",0.720171282083119,0.6565324069633789,2
OH3,clip x control source (2x2 df=4),0.9320354767668487,0.8470203527285776,4
OH3,clip x human-vs-AI (df=2),0.6759440247960946,0.7832900198472998,2
OH3,position x condition (df=12),0.28299814389360667,14.283074587202464,12
OH3,"control source x profile, within H/HA (df=2)",0.4619118199662916,1.5447625439828698,2
OH3,"clip x profile, within H/HA (df=4)",0.36192722353157625,4.34012772038659,4
OH3,"profile main effect, within H/HA (df=2)",0.6635843820221494,0.8201985123432678,2
CR3,"control source x profile, within H/HA (df=2)",0.6737669813884284,0.7897419055789214,2
CR3,"clip x profile, within H/HA (df=4)",0.2907219609656546,4.966790903570654,4
CR3,"profile main effect, within H/HA (df=2)",0.4720783939156902,1.5012204367667437,2
