dv,family,A,B,mean_A,mean_B,n_A,n_B,diff,se,ci_lo,ci_hi,z,p_raw,d,d_lo,d_hi,direction,p_holm,p_bh
OH,clip-level,H1,H2,5.635327635327635,5.544159544159543,39,39,0.09116809116811778,0.21582288867121427,-0.3318447706274622,0.5141809529636977,0.42242086429954023,0.6727178514638165,0.09484882432867169,-0.3492532673648897,0.5389509160222331,—,1.0,0.9126430260755983
OH,clip-level,H1,H3,5.635327635327635,5.6083333333333325,39,40,0.02699430199432999,0.2144697537730146,-0.3933664154007786,0.4473550193894386,0.12586530976717386,0.8998385430389405,0.027949746735660842,-0.41314157924637995,0.4690410727177017,—,1.0,0.9448304701908876
OH,clip-level,H1,HA1,5.635327635327635,5.754385964912281,39,38,-0.11905832958461832,0.2172381358921413,-0.5448450759332153,0.3067284167639786,-0.5480544615045434,0.5836545078783659,-0.12772898494330134,-0.5749473638055275,0.31948939391892484,—,1.0,0.9126430260755983
OH,clip-level,H1,HA2,5.635327635327635,5.7065527065527055,39,39,-0.07122507122504512,0.21582288867121424,-0.494237933020625,0.3517877905705348,-0.3300163002337985,0.7413876456731057,-0.07629613248697871,-0.5203101823997907,0.3677179174258332,—,1.0,0.9126430260755983
OH,clip-level,H1,HA3,5.635327635327635,5.555555555555555,39,41,0.07977207977210832,0.21317465477496775,-0.33805024358682845,0.4975944031310451,0.3742099634514132,0.7082481118679731,0.08410418551249606,-0.35449581465828756,0.5227041856832797,—,1.0,0.9126430260755983
OH,clip-level,H1,A,5.635327635327635,5.237654320987654,39,36,0.3976733143400096,0.22027331335748965,-0.03406237984067012,0.8294090085206893,1.8053631113025976,0.07101787967495063,0.3568272823309103,-0.09976287471982659,0.8134174393816472,—,1.0,0.47488854496416993
OH,clip-level,H2,H3,5.544159544159543,5.6083333333333325,39,40,-0.06417378917378778,0.21446975377301453,-0.48453450656889624,0.35618692822132064,-0.2992206968340465,0.7647716585180027,-0.07005622872959029,-0.5112612760794969,0.3711488186203163,—,1.0,0.9126430260755983
OH,clip-level,H2,HA1,5.544159544159543,5.754385964912281,39,38,-0.2102264207527361,0.21723813589214122,-0.6360131671013329,0.21556032559586072,-0.9677233690548402,0.33318254384630497,-0.2391625993130289,-0.6875197669100963,0.20919456828403843,—,1.0,0.9126430260755983
OH,clip-level,H2,HA2,5.544159544159543,5.7065527065527055,39,39,-0.1623931623931629,0.21582288867121416,-0.5854060241887427,0.2606196994024168,-0.7524371645333391,0.45178820396476715,-0.18427968948051518,-0.6290733387675899,0.26051395980655956,—,1.0,0.9126430260755983
OH,clip-level,H2,HA3,5.544159544159543,5.555555555555555,39,41,-0.011396011396009459,0.21317465477496766,-0.4292183347549461,0.4064263119629271,-0.05345856620731655,0.9573665427927093,-0.012684550042414183,-0.45109530291531835,0.42572620283048995,—,1.0,0.9573665427927093
OH,clip-level,H2,A,5.544159544159543,5.237654320987654,39,36,0.30650522317189177,0.22027331335748956,-0.12523047100878776,0.7382409173525712,1.3914768816068668,0.16408086529682975,0.28666312738529476,-0.1686590123347203,0.7419852671053098,—,1.0,0.5742830285389041
