dv,A,B,n_A,n_B,mean_A,mean_B,diff,ci_lo,ci_hi,d,d_lo,d_hi,p_raw,p_holm
OH,H,HA,118,118,5.596045197740112,5.669491525423729,-0.07622457140000097,-0.3194832311732542,0.1670340883732523,-0.0846401939671385,-0.3399246858102846,0.1706442978760076,0.539108458071754,0.539108458071754
OH,H,A,118,36,5.596045197740112,5.237654320987654,0.358285849952527,0.0026166849475490195,0.7139550149575049,0.35428509250333384,-0.020991597663991224,0.7295617826706589,0.04833402072135434,0.09666804144270869
OH,HA,A,118,36,5.669491525423729,5.237654320987654,0.434510421352528,0.0788058267319337,0.7902150159731223,0.45562675116981405,0.07898855831443047,0.8322649440251977,0.01665506933056157,0.049965207991684704
AU1,H,HA,118,118,5.5,5.341807909604519,0.15049281531956546,-0.1832083891423897,0.48419401978152066,0.1249217814400394,-0.1304972407800395,0.3803408036601183,0.3767381876355572,0.3767381876355572
AU1,H,A,118,36,5.5,4.611111111111112,0.8871794871795359,0.3992740253029891,1.3750849490560826,0.6422331100696648,0.262217865099892,1.0222483550394377,0.00036531236338668306,0.001095937090160049
AU1,HA,A,118,36,5.341807909604519,4.611111111111112,0.7366866718599705,0.24873260778601092,1.2246407359339302,0.526337901136291,0.14855174107379976,0.9041240611987822,0.0030853689833899543,0.006170737966779909
CR1,H,HA,118,118,5.69491525423729,5.6807909604519775,0.013957188154965335,-0.23391008023027154,0.2618244565402022,0.016033145893908553,-0.23914121925303636,0.27120751104085344,0.9121192129295745,0.9121192129295745
CR1,H,A,118,36,5.69491525423729,5.185185185185185,0.5105413105413983,0.14813388602949606,0.8729487350533005,0.4609699315001087,0.08425065403327947,0.8376892089669379,0.005759835755654169,0.017279507266962507
CR1,HA,A,118,36,5.6807909604519775,5.185185185185185,0.496584122386433,0.13414059703417108,0.8590276477386949,0.5142395928948487,0.13666130864583953,0.8918178771438579,0.007244362543267966,0.017279507266962507
CR2,H,HA,118,118,5.793785310734463,5.929378531073446,-0.1367034952399857,-0.3501821356546235,0.07677514517465209,-0.17270190647312814,-0.42834739791800414,0.08294358497174784,0.20943938455519562,0.41887876911039124
CR2,H,A,118,36,5.793785310734463,5.6388888888888875,0.15512820512830042,-0.1569995105034717,0.4672559207600725,0.165590965896957,-0.2080519787522317,0.5392339105461457,0.32999468295336776,0.41887876911039124
CR2,HA,A,118,36,5.929378531073446,5.6388888888888875,0.29183170036828615,-0.020327107542704725,0.603990508279277,0.37500881344073783,-0.0005189525552388163,0.7505365794367145,0.06689645859513181,0.20068937578539542
OH1,H,HA,118,118,5.740112994350284,5.793785310734462,-0.05410444758963253,-0.26906875309307404,0.16085985791380897,-0.06640357377647056,-0.3216441518990265,0.1888370043460854,0.621791342866693,0.621791342866693
OH1,H,A,118,36,5.740112994350284,5.518518518518516,0.2214387464388007,-0.09286116426345523,0.5357386571410566,0.24885727487470705,-0.1253612155914567,0.6230757653408707,0.16730658266180332,0.33461316532360663
OH1,HA,A,118,36,5.793785310734462,5.518518518518516,0.2755431940284332,-0.03878802533400466,0.5898744133908711,0.338077145393849,-0.0370130145671585,0.7131673053548564,0.08577130334898576,0.2573139100469573
OH2,H,HA,118,118,5.799435028248588,5.810734463276836,-0.012574379454958564,-0.23105613207414083,0.2059073731642237,-0.015470884387052504,-0.27064496704091706,0.23970319826681205,0.9101853370131986,0.9101853370131986
OH2,H,A,118,36,5.799435028248588,5.425925925925927,0.3737891737892113,0.054346393847394314,0.6932319537310283,0.4146815047935839,0.038633817849392516,0.7907291917377752,0.021821978151119997,0.05331107685814408
OH2,HA,A,118,36,5.810734463276836,5.425925925925927,0.3863635532441698,0.06688895234057657,0.7058381541477631,0.4514050018764114,0.07483021913934423,0.8279797846134787,0.017770358952714695,0.05331107685814408
OH3,H,HA,118,118,5.248587570621468,5.403954802259888,-0.16199488715537458,-0.5488297667627052,0.22483999245195607,-0.11243114311421552,-0.3678029257253238,0.14294063949689273,0.4117662225697972,0.4117662225697972
OH3,H,A,118,36,5.248587570621468,4.76851851851852,0.4796296296296037,-0.08596272688911927,1.0452219861483267,0.29411488402397956,-0.08051290283775325,0.6687426708857124,0.09649165577080593,0.19298331154161186
OH3,HA,A,118,36,5.403954802259888,4.76851851851852,0.6416245167849782,0.07597581936926778,1.2072732142006886,0.4308868990328029,0.05461203439135709,0.8071617636742487,0.026198281427654967,0.0785948442829649
