dv,contrast,spec,diff,ci_lo,ci_hi,d,p_raw,n
OH,C1 human-involved vs AI-only,"sample: primary (AT1+AV1, n=272)",0.39639813565252746,0.06215352029410476,0.7306427510109501,0.41865640129501674,0.020100515482816612,272
OH,C2 H vs HA,"sample: primary (AT1+AV1, n=272)",-0.07622457140000097,-0.3194832311732542,0.1670340883732523,-0.0846401939671385,0.539108458071754,272
OH,C3 disability disclosed vs no mention,"sample: primary (AT1+AV1, n=272)",-0.0912065152196869,-0.3505875139564014,0.1681744835170276,-0.10130596917107078,0.49069890748632605,272
OH,C4 intellectual vs mobility,"sample: primary (AT1+AV1, n=272)",0.04341168091168283,-0.2529321340338927,0.3397554958572584,0.04881686320459681,0.7740187376152285,272
OH,C1 human-involved vs AI-only,sample: all completes (n=300),0.32184702244573954,0.015597295920107446,0.6280967489713716,0.33821162720299447,0.03941548570331455,300
OH,C2 H vs HA,sample: all completes (n=300),-0.09631176882707239,-0.33096525687721867,0.13834171922307387,-0.10579413956069424,0.42112712516706197,300
OH,C3 disability disclosed vs no mention,sample: all completes (n=300),-0.08156621359492071,-0.3321528150238546,0.16902038783401313,-0.08955524478186384,0.5234852999644815,300
OH,C4 intellectual vs mobility,sample: all completes (n=300),0.054944423936671864,-0.2304709200937941,0.34035976796713785,0.06079731935569665,0.7059406186607884,300
OH,C1 human-involved vs AI-only,sample: primary minus 3x straightliners,0.40285285592731296,0.06499713008675517,0.7407085817678707,0.42792065709705507,0.019435680574986288,257
OH,C2 H vs HA,sample: primary minus 3x straightliners,-0.1109559077481698,-0.3605806183397965,0.1386688028434569,-0.12384486147414761,0.3836437979619771,257
OH,C3 disability disclosed vs no mention,sample: primary minus 3x straightliners,-0.08817924606747732,-0.35370049989275143,0.17734200775779677,-0.09835573115211571,0.5151024390563546,257
OH,C4 intellectual vs mobility,sample: primary minus 3x straightliners,0.007341435863105206,-0.2975117092793813,0.3121945810055917,0.008295407601960014,0.9623534462426745,257
OH,C1 human-involved vs AI-only,"adjusted for GAAIS_pos, NARS, SCM_warm, age",0.325428880151512,0.0493832042014376,0.6014745561015864,0.3432588833392062,0.020853063429335465,271
OH,C2 H vs HA,"adjusted for GAAIS_pos, NARS, SCM_warm, age",-0.1020735389191229,-0.3012703866227125,0.09712330878446672,-0.11317132575362936,0.3152080489614183,271
OH,C3 disability disclosed vs no mention,"adjusted for GAAIS_pos, NARS, SCM_warm, age",0.07494738084541983,-0.14385624336727423,0.2937510050581139,0.08312175216590179,0.5019887015841857,271
OH,C4 intellectual vs mobility,"adjusted for GAAIS_pos, NARS, SCM_warm, age",-0.037337872150882995,-0.2793899368138104,0.20471419251204442,-0.04189070604829881,0.7623922330351243,271
OH,C1 human-involved vs AI-only,participant means: Welch t,0.395114040594267,,,,0.0686843062575473,272
OH,C1 human-involved vs AI-only,participant means: Mann-Whitney,0.3888888888888893,,,,0.0626068291384556,272
OH,C2 H vs HA,participant means: Welch t,-0.07344632768361681,,,,0.5316436602373042,272
OH,C2 H vs HA,participant means: Mann-Whitney,-0.11111111111111072,,,,0.5167663498170931,272
OH,C3 disability disclosed vs no mention,participant means: Welch t,-0.0910089211976004,,,,0.4747470243613534,272
OH,C3 disability disclosed vs no mention,participant means: Mann-Whitney,0.0,,,,0.4282285889635382,272
OH,C4 intellectual vs mobility,participant means: Welch t,0.04373746966339631,,,,0.7568490702011759,272
OH,C4 intellectual vs mobility,participant means: Mann-Whitney,-0.05555555555555536,,,,0.8360412625683646,272
