dv,clip,mean_human,mean_AI,diff,d,p_raw,n_human,n_AI
OH,REL,5.470338983050848,4.898148148148149,0.572190834902699,0.5050708951996344,0.0288191173879214,236,36
OH,ADV,5.8022598870056505,5.462962962962963,0.33929692404268774,0.33863530089703536,0.13387123578569657,236,36
OH,COL,5.625706214689265,5.351851851851852,0.2738543628374126,0.25131904850137593,0.21059337829938315,236,36
AU1,REL,5.432203389830509,4.694444444444445,0.737758945386064,0.4801067699515239,0.046589664449742364,236,36
AU1,ADV,5.5974576271186445,4.805555555555555,0.7919020715630891,0.545792211234206,0.025804207924731464,236,36
AU1,COL,5.233050847457627,4.333333333333333,0.8997175141242941,0.6158970681161565,0.009153123250572255,236,36
CR1,REL,5.779661016949152,5.277777777777778,0.5018832391713746,0.47161865580853646,0.07108400699461068,236,36
CR1,ADV,5.72457627118644,5.277777777777778,0.4467984934086626,0.40032935941814435,0.09317536400030109,236,36
CR1,COL,5.559322033898305,5.0,0.5593220338983054,0.5088879203792263,0.044431906597827905,236,36
CR2,REL,5.830508474576271,5.388888888888889,0.44161958568738147,0.4434498053978067,0.07794965596131691,236,36
CR2,ADV,5.923728813559322,5.75,0.1737288135593218,0.1726524139854967,0.4217209961927274,236,36
CR2,COL,5.830508474576271,5.777777777777778,0.05273069679849307,0.05464192570374348,0.7768042771789353,236,36
